         12683048 function calls (12127051 primitive calls) in 18.546 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1041    3.124    0.003    3.124    0.003 {method 'acquire' of '_thread.lock' objects}
      909    1.379    0.002    1.379    0.002 {method 'receive_message' of 'neo4j.bolt._io.ChunkedInputBuffer' objects}
       28    1.104    0.039    1.104    0.039 {built-in method conv1d}
      104    0.733    0.007    0.733    0.007 {built-in method posix.read}
      104    0.480    0.005    0.480    0.005 {built-in method _posixsubprocess.fork_exec}
1936921/1934377    0.375    0.000    0.582    0.000 {built-in method builtins.isinstance}
       64    0.353    0.006    0.353    0.006 {built-in method qr}
   254736    0.308    0.000    0.308    0.000 {built-in method numpy.core.multiarray.dragon4_scientific}
   170356    0.305    0.000    0.553    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/arrayprint.py:923(__call__)
176516/784    0.282    0.000    1.033    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/arrayprint.py:694(recurser)
       68    0.216    0.003    0.216    0.003 {method 'uniform_' of 'torch._C._TensorBase' objects}
      132    0.190    0.001    0.190    0.001 {method 'copy_' of 'torch._C._TensorBase' objects}
108633/107452    0.178    0.000    0.189    0.000 {built-in method numpy.core.multiarray.array}
      450    0.167    0.000    0.167    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
1855088/1798338    0.166    0.000    0.217    0.000 {built-in method builtins.len}
    32026    0.165    0.000    0.165    0.000 {method 'reduce' of 'numpy.ufunc' objects}
240136/3519    0.153    0.000    0.291    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/py2neo/internal/packstream.py:47(hydrate_)
   347317    0.145    0.000    0.163    0.000 {built-in method builtins.getattr}
      784    0.142    0.000    0.651    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/arrayprint.py:839(fillFormat)
